,CUSTNO,avg_grade,가공_avg,가구/인테_avg,일상_avg,스포츠_avg,패션잡화_avg,교육/문화_avg,기타_avg,가전_avg,의류_avg,신선_avg,의약품_avg,사치품_avg,food_grade,fun_grade,etc_grade,fresh_grade,fashion_grade,necce_grade,sport_grade,stuff_grade,digital_grade,edu_grade,high_grade,medi_grade,fre_grade,GENDER,AGE,target_grade,R_grade
10,11,3.0,2.0,2.6666666666666665,4.0,2.0,3.0,1.3333333333333333,2.0,2.6666666666666665,3.0,3.0,0.0,4.666666666666667,6.0,6.0,3.0,6.0,3.0,3.0,5.0,3.0,6.0,1.0,6.0,0.0,6.0,0,6,1.0,5.0
11,12,1.0,1.0,0.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,3.333333333333333,2.0,0.6666666666666666,0.0,2.0,0.0,0.0,2.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,6,0.0,4.0
12,13,2.0,1.0,0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.0,1.6666666666666667,2.0,0.6666666666666666,1.0,5.0,0.0,5.0,1.0,5.0,5.0,5.0,1.0,0.0,2.0,0.0,5.0,2.0,1,6,1.0,4.0
13,14,2.0,1.0,1.6666666666666667,1.6666666666666667,5.0,1.0,1.0,2.0,2.333333333333333,3.0,3.0,0.0,2.6666666666666665,5.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,6.0,1,6,1.0,5.0
14,15,2.0,1.3333333333333333,0.3333333333333333,2.0,3.0,1.6666666666666667,0.3333333333333333,0.0,0.0,3.6666666666666665,2.0,1.3333333333333333,0.0,5.0,4.0,0.0,5.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,1,6,0.0,5.0
15,16,2.0,2.0,0.0,2.6666666666666665,1.6666666666666667,1.0,1.0,0.0,1.3333333333333333,2.0,3.0,0.0,1.3333333333333333,3.0,0.0,0.0,6.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1,6,1.0,5.0
16,17,3.0,1.6666666666666667,2.0,3.0,0.0,3.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,3.0,2.6666666666666665,0.0,4.0,3.0,5.0,5.0,3.0,3.0,6.0,0.0,3.0,5.0,0.0,6.0,0.0,1.0,0,6,0.0,5.0
17,18,3.0,2.0,1.3333333333333333,3.0,3.333333333333333,2.333333333333333,1.0,1.0,1.3333333333333333,4.333333333333333,3.0,0.0,1.3333333333333333,6.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,1,6,0.0,5.0
18,19,2.0,2.0,0.6666666666666666,2.333333333333333,5.0,1.6666666666666667,0.0,0.0,0.0,4.333333333333333,3.0,0.0,2.6666666666666665,3.0,0.0,0.0,3.0,6.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,1.0,1,6,0.0,4.0
19,20,2.0,2.0,1.3333333333333333,2.0,2.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0,6,0.0,5.0
20,21,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,2.333333333333333,2.0,1.3333333333333333,1.0,2.0,0.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,3.0,6.0,1.0,0.0,4.0,0,6,1.0,4.0
21,22,3.0,2.0,0.6666666666666666,4.0,1.6666666666666667,3.0,0.0,0.0,1.3333333333333333,0.0,3.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0,6.0,0.0,3.0,5.0,0.0,6.0,0.0,1.0,1,6,0.0,4.0
22,23,6.0,2.0,2.6666666666666665,4.0,5.0,3.0,0.3333333333333333,0.0,1.3333333333333333,3.0,3.0,0.6666666666666666,2.6666666666666665,6.0,5.0,0.0,6.0,6.0,3.0,6.0,3.0,2.0,5.0,6.0,6.0,6.0,0,6,1.0,4.0
23,24,5.0,1.0,1.0,1.0,0.6666666666666666,1.6666666666666667,0.0,2.6666666666666665,0.0,1.0,2.0,0.0,1.3333333333333333,6.0,2.0,2.0,5.0,5.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,0,6,0.0,5.0
24,25,2.0,2.0,0.6666666666666666,2.0,2.6666666666666665,1.0,0.6666666666666666,0.0,0.0,3.0,2.6666666666666665,0.0,4.0,6.0,1.0,0.0,5.0,6.0,2.0,4.0,2.0,0.0,1.0,5.0,0.0,1.0,1,6,1.0,5.0
25,26,3.0,2.0,2.6666666666666665,2.333333333333333,3.0,1.6666666666666667,1.3333333333333333,0.0,2.6666666666666665,3.0,3.0,0.0,4.0,6.0,6.0,0.0,3.0,6.0,6.0,6.0,3.0,6.0,5.0,5.0,0.0,3.0,1,6,0.0,5.0
26,27,2.0,2.0,1.3333333333333333,4.0,4.333333333333333,2.0,0.0,0.0,0.0,5.0,3.0,0.0,2.6666666666666665,3.0,0.0,0.0,6.0,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.0,0,6,0.0,4.0
27,28,1.0,1.0,0.0,1.6666666666666667,0.0,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1,6,0.0,5.0
28,29,3.0,1.3333333333333333,4.0,2.333333333333333,4.333333333333333,2.6666666666666665,0.0,0.0,4.0,3.0,2.333333333333333,1.3333333333333333,4.0,3.0,6.0,0.0,3.0,3.0,3.0,3.0,6.0,3.0,0.0,3.0,5.0,2.0,0,6,0.0,4.0
29,30,6.0,2.0,4.0,2.0,2.6666666666666665,2.0,1.0,0.0,1.3333333333333333,5.0,3.0,2.0,4.0,6.0,2.0,0.0,6.0,6.0,6.0,2.0,5.0,0.0,4.0,3.0,6.0,6.0,1,6,1.0,4.0
30,31,5.0,2.0,1.3333333333333333,2.0,2.0,1.3333333333333333,2.0,0.0,1.3333333333333333,3.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,5.0,5.0,1.0,2.0,2.0,5.0,0.0,0.0,2.0,1,6,1.0,4.0
31,32,5.0,1.6666666666666667,0.0,2.0,3.6666666666666665,1.3333333333333333,1.0,0.0,0.0,2.333333333333333,2.0,0.0,1.0,6.0,0.0,0.0,5.0,2.0,6.0,3.0,4.0,0.0,2.0,1.0,0.0,6.0,1,6,1.0,5.0
32,33,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,2.0,0.0,2.0,2.0,1.3333333333333333,0.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0,6,0.0,4.0
33,34,1.0,2.0,1.3333333333333333,2.0,1.0,1.6666666666666667,0.0,0.6666666666666666,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1,6,0.0,4.0
34,35,3.0,2.0,1.3333333333333333,1.6666666666666667,2.6666666666666665,3.0,0.0,0.0,1.3333333333333333,3.0,3.0,1.3333333333333333,2.6666666666666665,3.0,5.0,0.0,6.0,3.0,2.0,3.0,5.0,0.0,0.0,5.0,5.0,1.0,1,6,1.0,4.0
35,36,2.0,2.0,3.333333333333333,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.0,0.0,4.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,2.0,2.0,6.0,5.0,6.0,3.0,3.0,0.0,0.0,2.0,0,6,0.0,4.0
36,37,6.0,2.0,0.0,3.6666666666666665,5.0,2.333333333333333,0.0,0.0,1.3333333333333333,5.0,3.0,0.0,1.3333333333333333,6.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,2.0,0.0,6.0,1,6,1.0,4.0
37,38,2.0,1.0,2.0,1.0,0.6666666666666666,1.3333333333333333,1.0,2.0,1.3333333333333333,1.6666666666666667,2.0,1.0,1.3333333333333333,5.0,5.0,6.0,5.0,4.0,2.0,1.0,4.0,0.0,2.0,1.0,2.0,6.0,1,6,1.0,5.0
38,39,3.0,2.0,2.0,2.6666666666666665,0.0,0.6666666666666666,0.0,0.0,0.0,5.0,3.0,0.0,1.3333333333333333,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1,6,0.0,4.0
39,40,2.0,1.6666666666666667,2.0,2.6666666666666665,4.333333333333333,1.0,0.0,0.0,4.0,3.0,2.0,0.0,1.3333333333333333,5.0,5.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,2.0,0,6,1.0,5.0
40,41,2.0,2.0,1.3333333333333333,2.0,2.6666666666666665,0.6666666666666666,0.0,1.3333333333333333,1.3333333333333333,4.0,3.0,0.0,1.3333333333333333,3.0,0.0,5.0,3.0,6.0,5.0,2.0,6.0,5.0,0.0,2.0,0.0,2.0,0,6,0.0,4.0
41,42,1.0,1.0,1.0,2.0,1.6666666666666667,1.3333333333333333,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,5.0,1.0,0,6,1.0,5.0
42,43,5.0,1.0,0.0,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,1.6666666666666667,2.0,0.6666666666666666,0.0,4.0,0.0,0.0,2.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1,6,0.0,4.0
43,44,6.0,2.0,1.3333333333333333,1.0,3.0,2.333333333333333,0.0,0.0,2.6666666666666665,3.0,3.0,0.0,4.0,3.0,6.0,0.0,3.0,3.0,1.0,5.0,3.0,2.0,0.0,6.0,0.0,6.0,1,6,1.0,5.0
44,45,3.0,2.0,2.0,2.0,2.0,1.6666666666666667,2.333333333333333,0.0,0.0,5.0,2.6666666666666665,0.0,2.6666666666666665,6.0,3.0,0.0,5.0,6.0,6.0,6.0,6.0,0.0,2.0,5.0,0.0,5.0,1,6,1.0,4.0
45,46,3.0,2.0,4.0,3.6666666666666665,3.0,1.6666666666666667,0.0,0.0,4.0,4.333333333333333,3.0,0.0,4.0,6.0,6.0,0.0,6.0,3.0,3.0,6.0,5.0,5.0,0.0,3.0,0.0,2.0,1,6,1.0,4.0
46,47,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,3.6666666666666665,1.3333333333333333,3.0,2.333333333333333,1.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,2.0,1.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,6.0,5.0,2.0,2.0,1,6,0.0,3.0
47,48,6.0,2.0,2.6666666666666665,2.6666666666666665,3.0,1.6666666666666667,1.0,0.0,2.6666666666666665,4.333333333333333,3.0,0.0,4.0,6.0,3.0,0.0,6.0,6.0,6.0,2.0,3.0,6.0,5.0,2.0,0.0,2.0,1,6,1.0,5.0
48,49,3.0,2.0,2.6666666666666665,3.0,2.6666666666666665,1.6666666666666667,2.0,0.0,2.6666666666666665,5.0,3.0,0.0,4.0,6.0,5.0,0.0,3.0,3.0,3.0,2.0,6.0,1.0,5.0,6.0,0.0,1.0,1,6,1.0,4.0
49,50,2.0,2.0,3.0,2.0,3.0,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.0,2.333333333333333,3.0,0.0,2.6666666666666665,2.0,5.0,4.0,5.0,2.0,5.0,5.0,2.0,0.0,6.0,1.0,0.0,6.0,1,6,0.0,5.0
50,51,2.0,1.3333333333333333,3.0,1.3333333333333333,4.333333333333333,1.6666666666666667,3.0,0.0,2.6666666666666665,3.0,2.333333333333333,1.3333333333333333,0.0,2.0,2.0,0.0,5.0,2.0,5.0,5.0,2.0,6.0,5.0,0.0,5.0,3.0,1,6,0.0,5.0
51,52,2.0,2.0,4.0,2.333333333333333,3.0,1.0,1.0,0.0,2.6666666666666665,3.0,3.0,0.0,4.0,6.0,5.0,0.0,5.0,3.0,6.0,5.0,5.0,2.0,4.0,5.0,0.0,6.0,1,6,0.0,5.0
52,53,2.0,2.0,0.0,3.6666666666666665,5.0,2.6666666666666665,0.6666666666666666,0.0,4.0,2.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,6.0,3.0,3.0,3.0,2.0,4.0,6.0,0.0,6.0,0,6,0.0,5.0
53,54,1.0,2.0,0.0,4.0,0.0,1.6666666666666667,0.0,0.6666666666666666,0.0,3.6666666666666665,3.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,6,0.0,5.0
54,55,1.0,1.0,0.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,1.0,2.0,0.0,0.6666666666666666,2.0,0.0,0.0,2.0,5.0,6.0,6.0,4.0,5.0,5.0,1.0,0.0,5.0,0.0,0.0,2.0,1,6,1.0,5.0
55,56,3.0,2.0,2.6666666666666665,2.6666666666666665,3.333333333333333,1.0,2.6666666666666665,0.0,1.3333333333333333,3.0,3.0,0.0,4.0,3.0,6.0,0.0,3.0,6.0,2.0,5.0,2.0,2.0,3.0,3.0,0.0,2.0,1,6,1.0,5.0
56,57,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.3333333333333333,1.0,0.0,6.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1,6,1.0,5.0
57,58,6.0,2.0,1.3333333333333333,2.0,2.0,1.6666666666666667,2.333333333333333,0.0,2.6666666666666665,3.0,3.0,0.0,4.0,6.0,5.0,0.0,6.0,5.0,2.0,3.0,5.0,1.0,3.0,2.0,0.0,1.0,1,6,0.0,5.0
58,59,2.0,2.0,1.3333333333333333,3.333333333333333,0.0,2.333333333333333,0.0,0.0,1.3333333333333333,5.0,3.0,0.0,4.0,3.0,4.0,0.0,6.0,3.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,5.0,1,6,0.0,4.0
59,60,2.0,1.3333333333333333,0.6666666666666666,2.0,3.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,4.0,1.6666666666666667,2.0,0.0,1.0,3.0,1.0,5.0,2.0,2.0,6.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,1,6,1.0,4.0
60,61,2.0,1.6666666666666667,2.6666666666666665,2.333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,2.0,3.0,2.333333333333333,0.6666666666666666,2.6666666666666665,5.0,2.0,0.0,6.0,2.0,2.0,6.0,2.0,1.0,0.0,2.0,5.0,2.0,1,6,0.0,4.0
61,62,2.0,2.0,1.3333333333333333,1.6666666666666667,3.6666666666666665,1.0,3.0,0.0,1.3333333333333333,3.0,2.0,0.0,1.3333333333333333,6.0,0.0,0.0,2.0,3.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,2.0,1,6,0.0,4.0
62,63,1.0,2.0,0.0,2.0,1.0,2.333333333333333,0.0,1.0,0.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,6,1.0,4.0
63,64,1.0,1.0,0.0,2.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,4.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0,6,0.0,4.0
64,65,5.0,2.0,2.6666666666666665,2.333333333333333,3.0,1.0,0.3333333333333333,0.0,4.0,2.333333333333333,3.0,0.0,2.6666666666666665,6.0,5.0,0.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,4.0,0.0,2.0,1,6,1.0,5.0
65,66,1.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,2.6666666666666665,3.0,2.0,0.0,0.0,5.0,4.0,0.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,6.0,1,6,0.0,5.0
66,67,2.0,1.0,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,5.0,2.0,1.6666666666666667,0.0,4.0,0.0,0.0,1.0,6.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1,6,1.0,5.0
67,68,3.0,1.6666666666666667,2.0,3.0,5.0,2.333333333333333,3.0,3.0,4.0,3.0,2.0,0.6666666666666666,3.0,6.0,4.0,3.0,5.0,6.0,2.0,2.0,6.0,5.0,3.0,2.0,4.0,6.0,0,6,0.0,5.0
68,69,2.0,1.0,0.0,2.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,1,6,1.0,5.0
69,70,6.0,2.0,0.6666666666666666,2.333333333333333,3.6666666666666665,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.0,3.0,3.0,0.0,4.0,5.0,0.0,1.0,1.0,6.0,5.0,5.0,5.0,0.0,2.0,3.0,0.0,3.0,0,6,0.0,3.0
70,71,1.0,1.0,1.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,2.0,2.333333333333333,0.0,1.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1,6,1.0,5.0
71,72,2.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.0,1.0,2.0,1.3333333333333333,0.0,5.0,0.0,4.0,3.0,2.0,2.0,4.0,5.0,0.0,2.0,0.0,5.0,4.0,1,6,1.0,5.0
72,73,3.0,2.0,3.333333333333333,3.6666666666666665,5.0,2.333333333333333,1.0,0.0,4.0,3.0,3.0,0.0,4.0,6.0,6.0,0.0,6.0,3.0,6.0,3.0,3.0,3.0,3.0,6.0,0.0,2.0,1,6,0.0,4.0
73,74,2.0,2.0,3.333333333333333,2.6666666666666665,2.0,3.0,0.0,0.0,1.3333333333333333,3.0,3.0,0.0,4.0,6.0,2.0,0.0,3.0,5.0,3.0,5.0,5.0,2.0,0.0,2.0,0.0,3.0,1,6,0.0,3.0
74,75,1.0,2.0,0.0,2.6666666666666665,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,1.6666666666666667,0.0,0.0,5.0,0.0,0.0,5.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0,6,0.0,4.0
75,76,1.0,2.0,3.6666666666666665,3.0,3.0,1.0,2.333333333333333,0.0,1.3333333333333333,3.0,3.0,0.0,2.6666666666666665,5.0,2.0,0.0,5.0,4.0,2.0,5.0,5.0,2.0,3.0,4.0,0.0,3.0,1,6,0.0,4.0
76,77,2.0,2.0,0.0,2.0,1.3333333333333333,1.6666666666666667,2.333333333333333,1.3333333333333333,0.0,3.0,3.0,1.3333333333333333,4.0,3.0,0.0,5.0,3.0,6.0,3.0,2.0,3.0,0.0,2.0,2.0,5.0,2.0,1,6,0.0,4.0
77,78,3.0,2.0,2.6666666666666665,2.0,3.6666666666666665,1.6666666666666667,0.0,2.0,2.6666666666666665,5.0,3.0,1.6666666666666667,4.0,6.0,5.0,6.0,6.0,3.0,5.0,3.0,6.0,5.0,0.0,2.0,6.0,5.0,1,6,1.0,4.0
78,79,2.0,1.0,1.0,1.0,2.333333333333333,1.0,1.3333333333333333,2.0,0.0,1.0,2.0,0.6666666666666666,0.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1,6,0.0,5.0
79,80,1.0,1.0,2.0,2.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,2.0,2.0,0.6666666666666666,0.0,4.0,2.0,5.0,1.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1,6,1.0,4.0
80,81,2.0,2.0,4.0,3.6666666666666665,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,4.333333333333333,3.0,0.0,4.0,6.0,2.0,1.0,3.0,3.0,3.0,4.0,6.0,6.0,4.0,2.0,0.0,2.0,1,6,1.0,5.0
81,82,3.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,5.0,2.0,2.0,1.0,1.3333333333333333,5.0,3.0,0.0,4.0,6.0,5.0,0.0,2.0,6.0,2.0,6.0,3.0,0.0,3.0,3.0,0.0,6.0,1,6,1.0,4.0
82,83,6.0,2.0,1.3333333333333333,2.6666666666666665,4.333333333333333,2.333333333333333,0.0,0.0,2.6666666666666665,5.0,3.0,0.0,1.3333333333333333,3.0,0.0,0.0,3.0,6.0,6.0,2.0,6.0,1.0,0.0,2.0,0.0,6.0,1,6,1.0,5.0
83,84,2.0,2.0,4.0,3.0,3.0,3.0,0.3333333333333333,0.0,4.0,3.6666666666666665,3.0,0.0,1.3333333333333333,3.0,3.0,0.0,3.0,3.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,1,6,1.0,4.0
84,85,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.3333333333333333,3.0,3.0,0.0,0.0,2.0,5.0,0.0,5.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1,6,1.0,4.0
85,86,2.0,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,1.3333333333333333,3.0,2.0,2.0,1.3333333333333333,5.0,6.0,0.0,5.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,6.0,2.0,1,6,1.0,5.0
86,87,2.0,2.0,2.6666666666666665,2.333333333333333,2.0,0.6666666666666666,2.0,1.3333333333333333,4.0,3.0,2.333333333333333,0.0,0.0,3.0,6.0,5.0,5.0,6.0,5.0,1.0,4.0,3.0,3.0,0.0,0.0,2.0,0,6,0.0,4.0
87,88,2.0,2.0,3.333333333333333,1.0,5.0,2.6666666666666665,0.3333333333333333,0.0,4.0,3.0,2.0,2.0,1.3333333333333333,3.0,5.0,0.0,2.0,3.0,3.0,6.0,3.0,5.0,4.0,2.0,2.0,6.0,1,6,0.0,5.0
88,89,1.0,1.0,1.3333333333333333,1.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.6666666666666665,2.0,1.3333333333333333,0.0,5.0,3.0,0.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,0.0,3.0,6.0,1,6,0.0,4.0
89,90,6.0,2.0,3.0,3.6666666666666665,4.333333333333333,1.6666666666666667,1.0,0.0,4.0,3.333333333333333,3.0,0.0,1.6666666666666667,3.0,6.0,0.0,6.0,6.0,6.0,6.0,3.0,6.0,3.0,6.0,0.0,4.0,1,6,1.0,4.0
90,91,2.0,2.0,1.3333333333333333,2.0,1.0,1.6666666666666667,2.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,5.0,5.0,0.0,6.0,0.0,0.0,5.0,1,6,0.0,5.0
91,92,2.0,1.3333333333333333,2.333333333333333,2.0,3.6666666666666665,1.0,3.0,1.3333333333333333,2.6666666666666665,3.0,2.0,0.6666666666666666,1.3333333333333333,5.0,6.0,4.0,6.0,2.0,6.0,5.0,5.0,5.0,5.0,1.0,0.0,6.0,1,6,1.0,4.0
92,93,3.0,2.0,0.6666666666666666,3.0,2.0,3.0,0.0,0.0,0.0,4.333333333333333,3.0,0.0,4.0,6.0,5.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,6.0,0.0,2.0,1,6,1.0,4.0
93,94,5.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.6666666666666666,1.0,0.0,1.3333333333333333,2.0,2.6666666666666665,0.0,1.3333333333333333,6.0,4.0,0.0,5.0,5.0,2.0,6.0,5.0,5.0,1.0,5.0,0.0,5.0,1,6,1.0,4.0
94,95,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.6666666666666667,0.0,0.0,2.0,2.0,2.0,1.3333333333333333,1.0,4.0,0.0,4.0,5.0,2.0,1.0,4.0,0.0,1.0,4.0,2.0,3.0,0,6,0.0,4.0
95,96,2.0,2.0,0.0,3.0,2.6666666666666665,0.3333333333333333,0.0,0.0,1.3333333333333333,3.0,3.0,0.0,1.3333333333333333,6.0,0.0,0.0,6.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,1,6,0.0,4.0
