,CUSTNO,GENDER,AGE,가공_avg,가구/인테_avg,일상_avg,스포츠_avg,패션잡화_avg,교육/문화_avg,기타_avg,가전_avg,의류_avg,신선_avg,의약품_avg,사치품_avg,avg_grade,food_grade,fun_grade,etc_grade,fresh_grade,fashion_grade,necce_grade,sport_grade,stuff_grade,digital_grade,edu_grade,high_grade,medi_grade,fre_grade,R_grade,target_grade
19,20,0.0,6.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,3.0,6.0,0.0,6.0,2.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,6.0,5.0,0.0
20,21,0.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,0.0,2.0,2.0,5.0,2.0,6.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,0.0,4.0,4.0,1.0
21,22,1.0,6.0,4.0,1.0,8.0,3.0,5.0,0.0,0.0,3.0,0.0,7.0,0.0,6.0,3.0,6.0,5.0,0.0,5.0,0.0,3.0,5.0,3.0,2.0,0.0,3.0,0.0,4.0,4.0,0.0
22,23,0.0,6.0,4.0,5.0,8.0,9.0,5.0,0.0,0.0,3.0,5.0,7.0,1.0,4.0,3.0,3.0,5.0,0.0,6.0,3.0,6.0,6.0,3.0,2.0,2.0,3.0,3.0,6.0,4.0,1.0
23,24,0.0,6.0,1.0,1.0,1.0,1.0,3.0,0.0,6.0,0.0,1.0,4.0,0.0,2.0,2.0,6.0,2.0,2.0,2.0,5.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0
24,25,1.0,6.0,4.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,5.0,6.0,0.0,6.0,6.0,3.0,1.0,0.0,5.0,6.0,5.0,4.0,5.0,0.0,2.0,5.0,0.0,4.0,5.0,1.0
25,26,1.0,6.0,4.0,5.0,5.0,5.0,2.0,3.0,0.0,5.0,5.0,7.0,0.0,6.0,3.0,3.0,6.0,0.0,3.0,3.0,3.0,6.0,3.0,6.0,2.0,5.0,0.0,3.0,5.0,0.0
26,27,0.0,6.0,4.0,3.0,8.0,8.0,3.0,0.0,0.0,0.0,9.0,7.0,0.0,4.0,3.0,3.0,5.0,0.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0
27,28,1.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0
28,29,0.0,6.0,2.0,8.0,5.0,8.0,4.0,0.0,0.0,8.0,5.0,5.0,3.0,6.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,6.0,3.0,0.0,3.0,5.0,6.0,4.0,0.0
29,30,1.0,6.0,4.0,8.0,4.0,5.0,3.0,1.0,0.0,3.0,9.0,7.0,4.0,6.0,6.0,6.0,5.0,0.0,6.0,6.0,6.0,2.0,5.0,5.0,4.0,3.0,6.0,6.0,4.0,1.0
30,31,1.0,6.0,4.0,3.0,4.0,3.0,2.0,5.0,0.0,3.0,5.0,7.0,0.0,0.0,4.0,5.0,1.0,0.0,3.0,5.0,5.0,5.0,2.0,2.0,6.0,0.0,0.0,2.0,4.0,1.0
31,32,1.0,6.0,3.0,0.0,4.0,6.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,2.0,0.0,0.0,5.0,2.0,6.0,3.0,5.0,0.0,2.0,1.0,0.0,6.0,5.0,1.0
32,33,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0
33,34,1.0,6.0,4.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,1.0,5.0,4.0,4.0,3.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
34,35,1.0,6.0,4.0,3.0,3.0,5.0,6.0,0.0,0.0,3.0,5.0,7.0,3.0,4.0,3.0,6.0,2.0,0.0,6.0,6.0,2.0,3.0,5.0,5.0,0.0,2.0,6.0,5.0,4.0,1.0
35,36,0.0,6.0,4.0,7.0,6.0,5.0,2.0,2.0,0.0,8.0,5.0,7.0,0.0,0.0,2.0,6.0,3.0,0.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,0.0,0.0,2.0,4.0,0.0
36,37,1.0,6.0,4.0,0.0,8.0,9.0,4.0,0.0,0.0,3.0,9.0,7.0,0.0,2.0,5.0,6.0,0.0,0.0,5.0,6.0,6.0,3.0,3.0,5.0,0.0,2.0,0.0,6.0,4.0,1.0
37,38,1.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,6.0,5.0,1.0
38,39,1.0,6.0,4.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0,7.0,0.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0
39,40,0.0,6.0,3.0,4.0,6.0,8.0,1.0,0.0,0.0,8.0,5.0,4.0,0.0,2.0,2.0,2.0,5.0,0.0,5.0,3.0,5.0,5.0,5.0,2.0,0.0,1.0,0.0,2.0,5.0,1.0
40,41,0.0,6.0,4.0,3.0,4.0,5.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,2.0,3.0,6.0,5.0,3.0,6.0,5.0,5.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0
41,42,0.0,6.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,5.0,5.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,1.0,5.0,1.0,5.0,1.0
42,43,1.0,6.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,4.0,4.0,0.0
43,44,1.0,6.0,4.0,3.0,1.0,5.0,4.0,0.0,0.0,5.0,5.0,7.0,0.0,6.0,2.0,3.0,3.0,0.0,3.0,6.0,5.0,5.0,3.0,2.0,0.0,3.0,0.0,6.0,5.0,1.0
44,45,1.0,6.0,4.0,4.0,4.0,3.0,2.0,5.0,0.0,0.0,9.0,6.0,0.0,4.0,3.0,6.0,2.0,0.0,5.0,6.0,3.0,6.0,3.0,0.0,5.0,5.0,0.0,5.0,4.0,1.0
45,46,1.0,6.0,4.0,8.0,8.0,5.0,2.0,0.0,0.0,8.0,8.0,7.0,0.0,6.0,3.0,6.0,6.0,0.0,3.0,3.0,3.0,3.0,5.0,6.0,0.0,6.0,0.0,5.0,4.0,0.0
46,47,1.0,6.0,2.0,1.0,2.0,6.0,2.0,7.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,0.0
47,48,1.0,6.0,4.0,5.0,6.0,5.0,3.0,1.0,0.0,5.0,8.0,7.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,3.0,6.0,6.0,2.0,3.0,5.0,5.0,0.0,2.0,5.0,1.0
48,49,1.0,6.0,4.0,5.0,6.0,5.0,2.0,5.0,0.0,5.0,9.0,7.0,0.0,6.0,3.0,6.0,6.0,0.0,3.0,3.0,3.0,2.0,3.0,5.0,6.0,3.0,0.0,1.0,4.0,1.0
49,50,1.0,6.0,4.0,6.0,4.0,5.0,2.0,6.0,3.0,0.0,4.0,7.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,0.0,6.0,5.0,0.0,3.0,5.0,0.0
50,51,1.0,6.0,2.0,6.0,2.0,8.0,2.0,7.0,0.0,5.0,5.0,5.0,3.0,0.0,2.0,2.0,5.0,0.0,5.0,2.0,5.0,6.0,2.0,3.0,5.0,0.0,5.0,6.0,5.0,0.0
51,52,1.0,6.0,4.0,8.0,5.0,5.0,1.0,2.0,0.0,5.0,5.0,7.0,0.0,6.0,2.0,6.0,5.0,0.0,6.0,3.0,6.0,5.0,5.0,2.0,5.0,5.0,0.0,6.0,5.0,0.0
52,53,0.0,6.0,4.0,0.0,8.0,9.0,5.0,1.0,0.0,8.0,3.0,7.0,0.0,6.0,2.0,6.0,0.0,0.0,2.0,6.0,6.0,3.0,3.0,5.0,1.0,6.0,0.0,6.0,5.0,0.0
53,54,1.0,6.0,4.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,6.0,7.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
54,55,1.0,6.0,1.0,0.0,4.0,1.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,1.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0
55,56,1.0,6.0,4.0,5.0,6.0,6.0,1.0,6.0,0.0,3.0,5.0,7.0,0.0,6.0,3.0,3.0,6.0,0.0,3.0,6.0,6.0,5.0,3.0,2.0,3.0,6.0,0.0,2.0,5.0,0.0
56,57,1.0,6.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0
57,58,1.0,6.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,5.0,5.0,7.0,0.0,6.0,2.0,3.0,2.0,0.0,6.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,0.0,4.0,5.0,1.0
58,59,1.0,6.0,4.0,3.0,7.0,0.0,4.0,0.0,0.0,3.0,9.0,7.0,0.0,6.0,2.0,6.0,5.0,0.0,6.0,3.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0
59,60,1.0,6.0,2.0,1.0,4.0,5.0,2.0,2.0,3.0,8.0,2.0,4.0,0.0,1.0,2.0,3.0,4.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,2.0,4.0,0.0,3.0,4.0,1.0
60,61,1.0,6.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,5.0,2.0,5.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,0.0
61,62,1.0,6.0,4.0,3.0,3.0,6.0,1.0,7.0,0.0,3.0,5.0,4.0,0.0,2.0,2.0,6.0,5.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,0.0,5.0,4.0,0.0
62,63,1.0,6.0,4.0,0.0,4.0,2.0,4.0,0.0,2.0,0.0,9.0,7.0,0.0,0.0,1.0,5.0,0.0,4.0,3.0,2.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
63,64,0.0,6.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,4.0,0.0
64,65,1.0,6.0,4.0,5.0,5.0,5.0,1.0,0.0,0.0,8.0,4.0,7.0,0.0,4.0,2.0,3.0,5.0,0.0,2.0,6.0,2.0,5.0,5.0,2.0,1.0,5.0,0.0,5.0,5.0,0.0
65,66,1.0,6.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,5.0,5.0,4.0,0.0,0.0,1.0,5.0,1.0,4.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,5.0,0.0
66,67,1.0,6.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,3.0,0.0,2.0,4.0,4.0,0.0,1.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,5.0,1.0
67,68,0.0,6.0,3.0,4.0,7.0,9.0,4.0,7.0,7.0,8.0,5.0,4.0,1.0,3.0,3.0,2.0,6.0,3.0,5.0,6.0,2.0,6.0,2.0,2.0,6.0,6.0,1.0,3.0,5.0,0.0
68,69,1.0,6.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,5.0,1.0
69,70,0.0,6.0,4.0,1.0,5.0,6.0,3.0,3.0,1.0,0.0,5.0,7.0,0.0,6.0,5.0,5.0,4.0,1.0,1.0,6.0,5.0,5.0,6.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0
70,71,1.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,5.0,0.0
71,72,1.0,6.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,0.0,1.0,4.0,3.0,0.0,1.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,5.0,4.0,5.0,1.0
72,73,1.0,6.0,4.0,7.0,8.0,9.0,4.0,2.0,0.0,8.0,5.0,7.0,0.0,6.0,3.0,3.0,6.0,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,6.0,0.0,2.0,4.0,0.0
73,74,1.0,6.0,4.0,7.0,6.0,3.0,5.0,0.0,0.0,3.0,5.0,7.0,0.0,6.0,2.0,3.0,2.0,0.0,3.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0
74,75,0.0,6.0,4.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0
75,76,1.0,6.0,4.0,8.0,7.0,5.0,1.0,5.0,0.0,3.0,5.0,7.0,0.0,4.0,1.0,2.0,5.0,0.0,5.0,5.0,5.0,2.0,2.0,2.0,6.0,5.0,0.0,3.0,4.0,0.0
76,77,1.0,6.0,4.0,0.0,4.0,2.0,3.0,5.0,3.0,0.0,5.0,7.0,3.0,6.0,2.0,3.0,0.0,6.0,3.0,3.0,3.0,1.0,3.0,0.0,6.0,2.0,5.0,2.0,4.0,1.0
77,78,1.0,6.0,4.0,5.0,4.0,6.0,2.0,0.0,4.0,5.0,9.0,7.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,2.0,6.0,6.0,5.0,0.0,2.0,6.0,6.0,4.0,1.0
78,79,1.0,6.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,0.0,1.0,4.0,1.0,0.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,0.0,2.0,0.0,5.0,1.0,5.0,0.0
79,80,1.0,6.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,5.0,5.0,0.0,4.0,1.0,0.0,0.0,5.0,6.0,4.0,1.0
80,81,1.0,6.0,4.0,8.0,8.0,3.0,3.0,1.0,3.0,5.0,8.0,7.0,0.0,6.0,3.0,6.0,6.0,4.0,6.0,3.0,6.0,1.0,3.0,6.0,1.0,5.0,0.0,6.0,5.0,1.0
81,82,1.0,6.0,3.0,3.0,2.0,9.0,3.0,5.0,2.0,3.0,9.0,7.0,0.0,6.0,3.0,3.0,5.0,5.0,2.0,3.0,6.0,6.0,3.0,4.0,3.0,3.0,0.0,6.0,4.0,1.0
82,83,1.0,6.0,4.0,3.0,5.0,8.0,4.0,0.0,0.0,5.0,9.0,7.0,0.0,2.0,6.0,2.0,6.0,0.0,3.0,6.0,6.0,5.0,3.0,5.0,0.0,2.0,0.0,6.0,5.0,1.0
83,84,1.0,6.0,4.0,8.0,7.0,5.0,5.0,0.0,0.0,8.0,6.0,7.0,0.0,2.0,6.0,3.0,3.0,0.0,3.0,3.0,6.0,3.0,6.0,6.0,4.0,5.0,0.0,5.0,4.0,0.0
84,85,1.0,6.0,4.0,4.0,6.0,2.0,1.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,2.0,5.0,2.0,0.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,4.0,1.0
85,86,1.0,6.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,3.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,0.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,4.0,6.0,2.0,5.0,1.0
86,87,0.0,6.0,4.0,5.0,5.0,3.0,1.0,5.0,3.0,8.0,5.0,5.0,0.0,0.0,3.0,6.0,3.0,2.0,6.0,3.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,2.0,4.0,0.0
87,88,1.0,6.0,4.0,7.0,1.0,9.0,5.0,0.0,0.0,8.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,6.0,6.0,6.0,2.0,1.0,2.0,2.0,6.0,5.0,1.0
88,89,1.0,6.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,0.0,2.0,5.0,2.0,4.0,1.0,2.0,5.0,5.0,5.0,2.0,4.0,0.0,3.0,6.0,4.0,0.0
89,90,1.0,6.0,4.0,6.0,8.0,8.0,2.0,2.0,0.0,8.0,6.0,7.0,0.0,3.0,3.0,3.0,6.0,0.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,2.0,0.0,1.0,4.0,1.0
90,91,1.0,6.0,4.0,3.0,4.0,2.0,2.0,4.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,5.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0
91,92,1.0,6.0,2.0,4.0,4.0,6.0,1.0,7.0,3.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,6.0,4.0,6.0,2.0,2.0,6.0,5.0,5.0,5.0,1.0,5.0,6.0,4.0,1.0
92,93,1.0,6.0,4.0,1.0,6.0,3.0,5.0,0.0,0.0,0.0,8.0,7.0,0.0,6.0,3.0,6.0,2.0,0.0,6.0,6.0,2.0,2.0,3.0,0.0,0.0,6.0,0.0,2.0,4.0,1.0
93,94,1.0,6.0,3.0,0.0,3.0,5.0,1.0,2.0,0.0,3.0,3.0,6.0,0.0,2.0,5.0,6.0,1.0,0.0,5.0,5.0,2.0,6.0,5.0,2.0,1.0,2.0,0.0,5.0,4.0,1.0
94,95,0.0,6.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0,0.0,4.0,2.0,2.0,1.0,4.0,0.0,4.0,1.0,5.0,3.0,4.0,0.0
95,96,1.0,6.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,2.0,6.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0
96,97,0.0,6.0,1.0,5.0,6.0,9.0,1.0,3.0,0.0,8.0,5.0,5.0,1.0,4.0,3.0,6.0,6.0,0.0,3.0,6.0,3.0,3.0,6.0,3.0,3.0,2.0,4.0,6.0,4.0,0.0
97,98,1.0,6.0,4.0,4.0,5.0,5.0,2.0,4.0,0.0,3.0,5.0,7.0,0.0,4.0,5.0,5.0,6.0,0.0,6.0,6.0,6.0,5.0,6.0,2.0,5.0,5.0,0.0,2.0,4.0,0.0
98,99,1.0,6.0,4.0,8.0,7.0,9.0,5.0,1.0,7.0,5.0,5.0,7.0,0.0,6.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,3.0,6.0,5.0,5.0,6.0,0.0,6.0,4.0,1.0
99,100,1.0,6.0,4.0,7.0,6.0,5.0,1.0,2.0,0.0,3.0,2.0,7.0,0.0,4.0,2.0,2.0,2.0,0.0,5.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,0.0,2.0,4.0,0.0
100,101,1.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0
101,102,1.0,6.0,2.0,3.0,7.0,6.0,2.0,1.0,2.0,8.0,5.0,3.0,3.0,6.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,6.0,6.0,1.0,3.0,2.0,6.0,4.0,0.0
102,103,1.0,6.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0
103,104,1.0,6.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,5.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,4.0,0.0,1.0,0.0,6.0,0.0,5.0,2.0,4.0,0.0
104,105,0.0,6.0,1.0,3.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,4.0,3.0,0.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,2.0,4.0,1.0
105,106,1.0,6.0,4.0,5.0,4.0,9.0,5.0,3.0,0.0,0.0,5.0,7.0,0.0,4.0,3.0,6.0,5.0,0.0,2.0,5.0,3.0,3.0,5.0,0.0,2.0,2.0,0.0,2.0,4.0,1.0
106,107,1.0,6.0,4.0,8.0,4.0,6.0,5.0,1.0,0.0,5.0,8.0,7.0,0.0,0.0,3.0,6.0,3.0,0.0,6.0,6.0,5.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,5.0,1.0
107,108,1.0,6.0,4.0,1.0,4.0,5.0,2.0,1.0,0.0,3.0,5.0,7.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,0.0,5.0,4.0,1.0
108,109,1.0,6.0,1.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,4.0,3.0,4.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,4.0,0.0
